#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 02:41:14,wvcp,r09,local_search,1,6358,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,13,0,6633,0:0:0:1:0:0:1:1:1:0:0:0:0:1:2:2:2:2:3:2:1:1:3:3:1:1:4:3:5:4:4:5:4:3:5:2:3:5:0:5:5:1:5:4:4:2:4:2:4:2:5:5:3:4:2:1:3:6:6:6:5:5:5:6:0:7:6:1:4:6:3:7:7:7:7:6:6:8:8:7:8:8:7:9:8:7:9:2:1:8:3:7:9:5:8:9:6:5:4:9:10:9:6:10:7:10:8:10:8:10:9:9:4:6:0:2:10:10:8:3:11:9:7:11:12:8:12:12
13,0,13,0,6626,0:0:0:1:0:0:1:1:1:0:0:0:0:1:2:2:2:1:3:2:1:1:3:3:1:1:4:3:5:4:3:5:4:2:5:2:3:5:0:5:5:1:5:4:4:2:4:2:4:2:5:5:3:2:2:1:3:6:6:6:5:5:5:6:0:7:6:1:4:6:3:7:7:7:7:6:6:8:8:7:8:8:7:9:8:7:9:2:1:8:3:7:9:5:8:3:6:5:8:9:10:10:6:10:7:10:8:10:10:10:9:9:4:3:0:2:9:10:8:3:11:4:7:11:6:11:12:12
24,0,13,0,6615,0:0:0:1:0:0:1:1:1:0:0:0:0:1:2:2:2:1:3:2:1:1:3:3:1:1:4:3:5:4:3:5:4:2:5:2:3:5:0:5:5:1:5:4:4:2:4:2:4:0:5:5:3:2:2:1:3:4:6:6:5:5:5:4:0:7:6:1:4:6:3:7:7:7:7:6:6:8:8:7:8:8:7:2:6:7:9:9:1:8:8:7:9:9:8:3:6:5:8:9:10:10:6:10:10:10:8:10:8:10:10:9:4:3:0:2:9:10:8:3:11:4:7:11:6:11:12:12
64,0,13,0,6601,0:0:0:1:0:0:1:1:1:0:0:0:0:1:2:2:2:1:3:2:1:1:3:3:1:1:4:3:5:4:3:5:4:2:1:2:3:4:1:4:5:1:5:4:4:2:3:2:4:0:5:5:3:2:2:1:3:4:6:6:5:5:5:6:0:7:6:1:4:5:3:7:7:7:6:0:6:8:8:7:8:8:7:2:6:7:6:4:8:8:2:7:9:5:9:3:9:5:8:9:10:9:6:10:9:10:9:9:2:8:10:9:4:10:0:2:10:10:8:3:11:10:7:11:6:11:12:11
366,0,13,0,6596,0:0:0:1:0:0:1:1:1:0:0:0:0:1:2:2:2:2:3:2:1:1:3:3:1:1:4:3:5:4:3:5:4:2:1:2:3:4:5:4:5:1:1:4:4:2:3:2:4:0:5:5:3:2:2:1:0:4:7:5:5:1:5:5:0:7:6:7:4:5:3:7:7:6:7:3:6:8:3:7:8:8:0:2:6:5:6:4:8:8:8:7:9:9:9:3:9:5:8:9:10:10:6:10:9:10:6:8:9:8:10:9:4:9:0:2:10:10:8:3:11:10:6:11:7:11:12:11
174650081,0,13,0,6596,0:0:0:1:0:0:1:1:1:0:0:0:0:1:2:2:2:2:3:2:3:1:3:3:1:1:4:3:5:4:5:3:4:2:1:5:3:4:0:5:3:1:1:4:4:5:4:2:4:0:1:5:3:4:2:1:2:4:7:5:5:4:7:7:0:7:6:7:4:5:3:7:7:6:5:0:6:8:7:7:6:8:8:2:5:8:6:3:8:8:2:3:9:3:9:6:6:5:4:9:10:9:7:10:10:10:10:3:8:10:9:9:4:9:0:2:6:10:8:6:11:9:7:10:8:11:12:11
#2022-10-12 03:41:15
